file,one_qubit_gates,two_qubit_gates
4392467_10_4_0_5_lightning_qubit.qasm,238,216
4392467_10_64_0_125_lightning_qubit.qasm,2378,896
4392467_10_64_0_25_lightning_qubit.qasm,2890,1920
4392467_10_64_0_375_lightning_qubit.qasm,3082,2304
4392467_10_64_0_5_lightning_qubit.qasm,2890,1920
4392467_16_1_0_125_lightning_qubit.qasm,81,34
4392467_16_1_0_25_lightning_qubit.qasm,87,46
4392467_16_1_0_375_lightning_qubit.qasm,115,102
4392467_16_1_0_5_lightning_qubit.qasm,132,136
4392467_16_16_0_125_lightning_qubit.qasm,960,352
4392467_16_16_0_25_lightning_qubit.qasm,1264,960
4392467_16_16_0_375_lightning_qubit.qasm,1392,1216
4392467_16_16_0_5_lightning_qubit.qasm,1632,1696
4392467_16_4_0_125_lightning_qubit.qasm,252,88
4392467_16_4_0_25_lightning_qubit.qasm,332,248
4392467_16_4_0_375_lightning_qubit.qasm,344,272
4392467_16_4_0_5_lightning_qubit.qasm,468,520
4392467_16_64_0_125_lightning_qubit.qasm,4176,2176
4392467_16_64_0_25_lightning_qubit.qasm,5072,3968
4392467_16_64_0_375_lightning_qubit.qasm,5584,4992
4392467_16_64_0_5_lightning_qubit.qasm,6480,6784
4392467_20_1_0_125_lightning_qubit.qasm,104,48
4392467_20_1_0_25_lightning_qubit.qasm,130,100
4392467_20_1_0_375_lightning_qubit.qasm,154,148
4392467_20_1_0_5_lightning_qubit.qasm,176,192
4392467_20_16_0_125_lightning_qubit.qasm,1332,704
4392467_20_16_0_25_lightning_qubit.qasm,1796,1632
4392467_20_16_0_375_lightning_qubit.qasm,2212,2464
4392467_20_16_0_5_lightning_qubit.qasm,2388,2816
4392467_20_4_0_125_lightning_qubit.qasm,320,120
4392467_20_4_0_25_lightning_qubit.qasm,452,384
4392467_20_4_0_375_lightning_qubit.qasm,580,640
4392467_20_4_0_5_lightning_qubit.qasm,668,816
4392467_20_64_0_125_lightning_qubit.qasm,5524,3328
4392467_20_64_0_25_lightning_qubit.qasm,7124,6528
4392467_20_64_0_375_lightning_qubit.qasm,9044,10368
4392467_20_64_0_5_lightning_qubit.qasm,9684,11648
4392467_24_1_0_125_lightning_qubit.qasm,137,82
4392467_24_1_0_25_lightning_qubit.qasm,173,154
4392467_24_1_0_375_lightning_qubit.qasm,199,206
4392467_24_1_0_5_lightning_qubit.qasm,209,226
